Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"A malicious actor modifies the return address in an application to execute the code in malware they injected into memory. What type of attack is this?","TOU","TOCTTOU","Exception handling malware","Buffer overflow","D","A buffer overflow occurs when a program writes more data to a buffer than it can hold, allowing an attacker to overwrite the return address and redirect execution to injected malicious code."
"An attacker captures traffic with the intention of impersonating a legitimate user. In what type of attack is the malicious actor engaging?","Concurrent session attack","Replay attack","Web-based attack","Privilege escalation","B","A replay attack captures legitimate network traffic (such as authentication tokens or session data) and replays it to impersonate a legitimate user and gain unauthorized access."
"A user sees a message in their browser that appears to be from the OS company, with a number to call support. The threat actor requests permission to install software to 'scan the system' but instead installs a threat agent for later access. What type of malware did the attacker install?","Bloatware","Buffer overflow","Keylogger","RAT","D","The attacker installed a RAT (Remote Access Trojan) which provides covert remote control access to the system for later exploitation. The 'support' scam is a social engineering vector to get the victim to install it."
"An attacker removes a 2 TB external hard drive containing proprietary data from a company's data center. What type of attack is this?","Malware attack","Physical attack","Insider threat","Social engineering","B","This attack is defined by the physical theft of hardware. Malware, insider threats, and social engineering do not accurately describe this scenario - it was a physical attack."
"Which of the following are types of malware that can be used to hide malicious activity from the operating system and antivirus software? Select two.","Bootkits","Ransomware","Rootkits","Spyware","A, C","Bootkits and rootkits are specifically designed to hide malicious activity from the OS and security software. Rootkits modify the OS to conceal their presence, and bootkits infect the boot process before the OS loads, making them extremely difficult to detect."
"A new anti-malware product blocks a fileless malware attack in real time before it executes its intent - but AFTER it has been loaded into the system's RAM. Which type of detection is being used?","Static anti-malware analysis","Dynamic anti-malware analysis","Signature-based detection","Heuristic analysis","B","Dynamic analysis watches the behavior of programs while they are running (in RAM/memory) and can block malicious activity after the malware is loaded. Static analysis examines code without executing it, and signature-based detection looks for known patterns. Heuristic analysis detects based on behavioral characteristics."
"Which of the following is a TRUE statement regarding the similarities or differences between keyloggers and spyware?","Spyware does not capture keyboard input.","Spyware and keyloggers capture keystrokes.","Keyloggers can probe installed programs to capture sensitive information.","Keyloggers can track user activity by using the computer's resources.","B","Both spyware and keyloggers can capture keystrokes. Keyloggers specifically record keystrokes, while spyware is a broader category of malware that can capture keystrokes along with other user activity, browsing habits, and system information."
"Which of the following are valid hardening techniques for an endpoint device? Select two.","Keep the operating system updated.","Use an application allow list.","Purchase a hardware firewall.","Disable the endpoint's host firewall to improve performance.","A, B","Endpoint hardening includes keeping the OS updated (A) and using application allow lists (B). Purchasing a hardware firewall is a network-level control and disabling the host firewall WEAKENS security."
"Which of the following statements about malware sandboxing is TRUE?","Sandboxing executes suspicious code in an isolated environment to observe its behavior.","Sandboxing automatically deletes all files that contain known malware signatures.","Sandboxing is a static analysis technique that examines code without running it.","Sandboxing prevents malware from ever entering the network.","A","Sandboxing (dynamic analysis) executes suspicious code in a controlled, isolated environment to safely observe its behavior without risking harm to the actual system. It is NOT a static technique, does not delete files, and does not prevent entry - it enables safe observation."
"Which of the following is a common goal of SQL injection attacks? Select two.","To retrieve sensitive data from a database","To modify or delete data in a database","To lock the database server screen","To install a hardware keylogger","A, B","SQL injection attacks target databases through poorly sanitized input fields to retrieve, modify, or delete sensitive data. Locking a screen and installing hardware keyloggers are not goals of SQL injection."
"What does an endpoint detection and response (EDR) tool provide that a traditional antivirus does NOT? Select two.","Continuous monitoring and behavioral analytics","Automated response capabilities","Signature database updates","Basic file scanning on demand","A, B","EDR tools provide continuous monitoring, behavioral analytics, and automated response capabilities that go beyond traditional antivirus. Signature updates and basic file scanning are standard antivirus features as well."
